Taxa,Bavg,Aavg,Bind,Mi,Ri,Sensitivity,Recoverability
Levinsenia gracilis,0.00303,8,0.00038,3,2,0.525,0.233333333
Lumbrineris aniara/cingulata,0.01124,3.66667,0.00306,3,4,0.591666667,0.216666667
Macrocypris minna,0.00018,0.16667,0.0011,3,2,0.35,0.833333333
Maera loveni,0.03112,2,0.01556,3,2,0.3875,0.35
Marphysa bellii/totospinata,0.00055,0.16667,0.0033,3,4,0.615,0.483333333
Medicorophium affine,0.00018,0.33333,0.00055,4,2,0.375,0.4
Melinnacheres terebellidis,0.00007,0.66667,0.0001,2,2,0.5,0.4
Mendicula ferruginosa,0.01417,7.5,0.00189,2,2,0.3,0.166666667
Monoculodes packardi,0.00002,0.16667,0.0001,3,2,0.35,0.3
Montacuta voeringi,0.01395,1,0.01395,2,2,0.45,0.466666667
Neogyptis rosea,0.00013,0.16667,0.0008,3,4,0.475,0.9
Nephtys hystricis,0.23277,11,0.02116,3,4,0.470833333,0.766666667
Nephtys paradoxa,0.2925,8.33333,0.0351,3,4,0.470833333,0.766666667
Nicippe tumida,0.00173,0.5,0.00347,3,2,0.325,0.35
Notomastus,0.00107,0.16667,0.0064,2,3,0.608333333,0.9
Ophelina norvegica,0.35826,11.5,0.03115,3,4,0.395833333,0.733333333
Ophryotrocha longidentata,0.00002,0.16667,0.0001,3,2,0.45,0.533333333
Panthalis oerstedi,0.18478,0.83333,0.22174,3,4,0.575,0.311111111
Paramphinome jeffreysii,0.00292,7.5,0.00039,3,4,0.475,0.566666667
Paramphitrite birulai,0.00492,0.66667,0.00738,2,2,0.675,0.666666667
Pennatula phosphorea,0.22315,0.66667,0.33473,2,2,0.7125,0.666666667
Pettibonesia furcosetosa,0.00028,0.16667,0.0017,3,4,0.64,0.683333333
Phascolion (Phascolion) strombus strombus,0.0013,0.33333,0.0039,2,2,0.675,0.566666667
Philine,0.0029,1,0.0029,3,2,0.55,0.566666667
Pholoe pallida,0.00309,2.5,0.00124,2,2,0.475,0.683333333
Phoronis,0.0021,0.16667,0.0126,1,2,0.75,0.9
Phyllodoce rosea,0.00012,0.16667,0.0007,3,4,0.66875,0.583333333
Phylo norvegicus,0.84208,17.5,0.04812,3,4,0.525,0.416666667
Pista cristata,0.11052,4.66667,0.02368,1,3,0.675,0.666666667
Polycirrus,0.0018,0.33333,0.0054,1,3,0.65,0.6
Praxillella affinis,0.00139,2,0.0007,1,3,0.533333333,0.233333333
Praxillura longissima,0.0003,0.16667,0.0018,1,3,0.595833333,0.516666667
Prionospio cirrifera,0.00015,0.16667,0.0009,2,3,0.516666667,0.866666667
Rhodine loveni,0.35691,9.16667,0.03894,1,3,0.570833333,0.233333333
Samytha sexcirrata,0.00112,0.33333,0.00335,2,3,0.625,0.516666667
Scalibregma inflatum,0.00067,0.16667,0.004,4,4,0.483333333,0.633333333
Scoletoma magnidentata,0.27027,0.33333,0.8108,3,4,0.625,0.466666667
Scutopus ventrolineatus,0.0147,5.16667,0.00285,2,2,0.3625,0.6
Spiochaetopterus typicus,0.00022,0.33333,0.00065,1,3,0.508333333,0.766666667
Spiophanes kroyeri,0.14345,33.5,0.00428,1,3,0.6,0.9
Streblosoma,0.38417,12.5,0.03073,1,3,0.65,0.6
Tellimya ferruginosa,0.0115,1.33333,0.00863,2,2,0.35,0.316666667
Tellimya tenella,0.00203,2.16667,0.00094,2,2,0.35,0.316666667
Terebellides stroemii,0.23882,16.5,0.01447,1,3,0.675,0.333333333
Thracia convexa,0.14709,1.16667,0.12608,2,3,0.3125,0.5
Thyasira equalis,0.56144,123.83333,0.00453,2,3,0.3125,0.233333333
Timoclea ovata,0.00532,4.16667,0.00128,2,2,0.375,0.766666667
Tubulanus polymorphus,0.00343,1.33333,0.00257,3,4,0.59375,0.4
Turritella communis,0.09104,1.16667,0.07803,3,4,0.425,0.566666667
Virgularia mirabilis,0.0688,0.33333,0.2064,2,2,0.7125,0.666666667
